tipo;codigo;nome;uf;ano;habitantes;area;codigoEstado
MUNICIPIO;1600402;Mazagão;AP;2024;21924;13131.0;16
MUNICIPIO;1302603;Manaus;AM;2024;2063547;11401.0;13
MUNICIPIO;1303403;Parintins;AM;2024;96372;5952.0;13
MUNICIPIO;1301902;Itacoatiara;AM;2024;103598;8891.0;13
MUNICIPIO;1302504;Manacapuru;AM;2024;101883;7329.0;13
MUNICIPIO;1301209;Coari;AM;2024;70496;57921.0;13
MUNICIPIO;2927408;Salvador;BA;2024;2418005;693.0;29
MUNICIPIO;2910800;Feira de Santana;BA;2024;616279;1304.0;29
MUNICIPIO;2933307;Vitória da Conquista;BA;2024;370868;3204.0;29
MUNICIPIO;2905701;Camaçari;BA;2024;299513;784.0;29
MUNICIPIO;2918407;Juazeiro;BA;2024;235816;6500.0;29
MUNICIPIO;2304400;Fortaleza;CE;2024;2428678;312.0;23
MUNICIPIO;2303709;Caucaia;CE;2024;355679;1227.0;23
MUNICIPIO;2307304;Juazeiro do Norte;CE;2024;286120;248.0;23
MUNICIPIO;2307650;Maracanaú;CE;2024;234392;105.0;23
MUNICIPIO;2312908;Sobral;CE;2024;203023;2122.0;23
MUNICIPIO;5300108;Brasília;DF;2024;2817068;5760.0;53
MUNICIPIO;3205002;Serra;ES;2024;520649;547.0;32
MUNICIPIO;3205200;Vila Velha;ES;2024;467722;209.0;32
MUNICIPIO;3201308;Cariacica;ES;2024;353510;279.0;32
MUNICIPIO;3205309;Vitória;ES;2024;322869;93.0;32
MUNICIPIO;3201209;Cachoeiro de Itapemirim;ES;2024;185784;864.0;32
MUNICIPIO;5208707;Goiânia;GO;2024;1437237;728.0;52
MUNICIPIO;5201405;Aparecida de Goiânia;GO;2024;527550;288.0;52
MUNICIPIO;5201108;Anápolis;GO;2024;398817;934.0;52
MUNICIPIO;5218805;Rio Verde;GO;2024;225696;8388.0;52
MUNICIPIO;5200258;Águas Lindas de Goiás;GO;2024;225671;191.0;52
MUNICIPIO;2111300;São Luís;MA;2024;1037775;583.0;21
MUNICIPIO;2105302;Imperatriz;MA;2024;273110;1368.0;21
MUNICIPIO;2111201;São José de Ribamar;MA;2024;244141;180.0;21
MUNICIPIO;2112209;Timon;MA;2024;174465;1764.0;21
MUNICIPIO;2103000;Caxias;MA;2024;156970;5150.0;21
MUNICIPIO;5103403;Cuiabá;MT;2024;650912;3291.0;51
MUNICIPIO;5108402;Várzea Grande;MT;2024;299472;724.0;51
MUNICIPIO;5107602;Rondonópolis;MT;2024;244897;4686.0;51
MUNICIPIO;5107909;Sinop;MT;2024;196067;3941.0;51
MUNICIPIO;5107925;Sorriso;MT;2024;110635;9345.0;51
MUNICIPIO;5002704;Campo Grande;MS;2024;897938;8092.0;50
MUNICIPIO;5003702;Dourados;MS;2024;243368;4086.0;50
MUNICIPIO;5008305;Três Lagoas;MS;2024;132152;10206.0;50
MUNICIPIO;5003207;Corumbá;MS;2024;96268;64960.0;50
MUNICIPIO;5006606;Ponta Porã;MS;2024;92017;5328.0;50
MUNICIPIO;3106200;Belo Horizonte;MG;2024;2315560;331.0;31
MUNICIPIO;3170206;Uberlândia;MG;2024;713232;4115.0;31
MUNICIPIO;3118601;Contagem;MG;2024;621865;195.0;31
MUNICIPIO;3136702;Juiz de Fora;MG;2024;540756;1435.0;31
MUNICIPIO;3106705;Betim;MG;2024;411846;343.0;31
MUNICIPIO;1501402;Belém;PA;2024;1303389;1059.0;15
MUNICIPIO;1500800;Ananindeua;PA;2024;478155;190.0;15
MUNICIPIO;1506807;Santarém;PA;2024;331942;17898.0;15
MUNICIPIO;1504208;Marabá;PA;2024;266536;15128.0;15
MUNICIPIO;1505536;Parauapebas;PA;2024;266424;6886.0;15
MUNICIPIO;2507507;João Pessoa;PB;2024;833932;211.0;25
MUNICIPIO;2504009;Campina Grande;PB;2024;419379;591.0;25
MUNICIPIO;2513703;Santa Rita;PB;2024;149910;718.0;25
MUNICIPIO;2510808;Patos;PB;2024;103165;473.0;25
MUNICIPIO;2501807;Bayeux;PB;2024;82742;31.0;25
MUNICIPIO;4106902;Curitiba;PR;2024;1773733;435.0;41
MUNICIPIO;4113700;Londrina;PR;2024;555937;1650.0;41
MUNICIPIO;4115200;Maringá;PR;2024;409657;487.0;41
MUNICIPIO;4119905;Ponta Grossa;PR;2024;358367;2050.0;41
MUNICIPIO;4104808;Cascavel;PR;2024;348051;2101.0;41
MUNICIPIO;2611606;Recife;PE;2024;1488920;218.0;26
MUNICIPIO;2607901;Jaboatão dos Guararapes;PE;2024;643759;258.0;26
MUNICIPIO;2611101;Petrolina;PE;2024;386786;4561.0;26
MUNICIPIO;2604106;Caruaru;PE;2024;378052;920.0;26
MUNICIPIO;2609600;Olinda;PE;2024;349976;41.0;26
MUNICIPIO;2211001;Teresina;PI;2024;866300;1391.0;22
MUNICIPIO;2207702;Parnaíba;PI;2024;162159;435.0;22
MUNICIPIO;2208007;Picos;PI;2024;83090;535.0;22
MUNICIPIO;2208403;Piripiri;PI;2024;65461;1409.0;22
MUNICIPIO;2203909;Floriano;PI;2024;62036;3409.0;22
MUNICIPIO;3304557;Rio de Janeiro;RJ;2024;6211423;1200.0;33
MUNICIPIO;3304904;São Gonçalo;RJ;2024;896744;247.0;33
MUNICIPIO;3301702;Duque de Caxias;RJ;2024;808152;467.0;33
MUNICIPIO;3303500;Nova Iguaçu;RJ;2024;785867;520.0;33
MUNICIPIO;3303302;Niterói;RJ;2024;481758;133.0;33
MUNICIPIO;2408102;Natal;RN;2024;751300;167.0;24
MUNICIPIO;2408003;Mossoró;RN;2024;264577;2099.0;24
MUNICIPIO;2403251;Parnamirim;RN;2024;252716;124.0;24
MUNICIPIO;2412005;São Gonçalo do Amarante;RN;2024;115838;249.0;24
MUNICIPIO;2407104;Macaíba;RN;2024;82212;510.0;24
MUNICIPIO;4314902;Porto Alegre;RS;2024;1332570;495.0;43
MUNICIPIO;4305108;Caxias do Sul;RS;2024;463338;1652.0;43
MUNICIPIO;4304606;Canoas;RS;2024;347657;131.0;43
MUNICIPIO;4314407;Pelotas;RS;2024;325689;1609.0;43
MUNICIPIO;4316907;Santa Maria;RS;2024;271633;1780.0;43
MUNICIPIO;1100205;Porto Velho;RO;2024;460413;34090.0;11
MUNICIPIO;1100122;Ji-Paraná;RO;2024;124333;6896.0;11
MUNICIPIO;1100023;Ariquemes;RO;2024;96833;4426.0;11
MUNICIPIO;1100304;Vilhena;RO;2024;95853;11699.0;11
MUNICIPIO;1100049;Cacoal;RO;2024;86895;3792.0;11
MUNICIPIO;1400100;Boa Vista;RR;2024;413486;5687.0;14
MUNICIPIO;1400472;Rorainópolis;RR;2024;32647;33593.0;14
MUNICIPIO;1400209;Caracaraí;RR;2024;20962;47410.0;14
MUNICIPIO;1400456;Pacaraima;RR;2024;19305;2628.0;14
MUNICIPIO;1400175;Cantá;RR;2024;18682;7664.0;14
MUNICIPIO;4209102;Joinville;SC;2024;616323;1126.0;42
MUNICIPIO;4205407;Florianópolis;SC;2024;537213;674.0;42
MUNICIPIO;4202404;Blumenau;SC;2024;361261;518.0;42
MUNICIPIO;4216602;São José;SC;2024;270295;150.0;42
MUNICIPIO;4208203;Itajaí;SC;2024;264054;289.0;42
MUNICIPIO;3550308;São Paulo;SP;2024;11451245;1521.0;35
MUNICIPIO;3518800;Guarulhos;SP;2024;1291784;318.0;35
MUNICIPIO;3509502;Campinas;SP;2024;1138309;794.0;35
MUNICIPIO;3548708;São Bernardo do Campo;SP;2024;810729;409.0;35
MUNICIPIO;3547809;Santo André;SP;2024;748919;175.0;35
MUNICIPIO;2800308;Aracaju;SE;2024;602757;182.0;28
MUNICIPIO;2804805;Nossa Senhora do Socorro;SE;2024;192330;155.0;28
MUNICIPIO;2802908;Itabaiana;SE;2024;103439;336.0;28
MUNICIPIO;2803500;Lagarto;SE;2024;101579;969.0;28
MUNICIPIO;2806701;São Cristóvão;SE;2024;95612;438.0;28
MUNICIPIO;1721000;Palmas;TO;2024;302692;2218.0;17
MUNICIPIO;1702109;Araguaína;TO;2024;171301;4000.0;17
MUNICIPIO;1709500;Gurupi;TO;2024;85126;1836.0;17
MUNICIPIO;1718204;Porto Nacional;TO;2024;64418;4449.0;17
MUNICIPIO;1716109;Paraíso do Tocantins;TO;2024;52360;1331.0;17
